DataExtracao;Ano;Mes;CanalEntrada;Condicao;GrupoEconNorm;Tipo;Servico;Modalidade;Motivo;UF;QtdeSolic
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Banda Larga Fixa;Cobrança;Cobrança após cancelamento;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pós-Pago;Cobrança;Cobrança de valores ou taxas não informadas anteriormente;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pós-Pago;Cobrança;Cobrança de valores que já foram pagos;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pós-Pago;Cobrança;Cobrança em desacordo com o contratado;ND;2
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pós-Pago;Documento de Cobrança, Contrato, Relatório, Gravações;Não recebimento de gravação de atendimento;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pré-Pago;Crédito Pré-pago;Crédito pré-pago cobrado de maneira indevida;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;TV por Assinatura;Dificuldade em cancelar;Não consegue cancelar o serviço por meio do atendente;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;NET;Reclamação;Banda Larga Fixa;Qualidade, Funcionamento e Reparo;Reparo não realizado no prazo;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;NET;Reclamação;Telefone Fixo;Oferta;Produto ou serviço diferente do que foi ofertado pela prestadora;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;NET;Reclamação;TV por Assinatura;Cobrança;Cobrança em desacordo com o contratado;ND;2
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;NET;Reclamação;TV por Assinatura;Mudança de Endereço;Mudança de endereço recusada pela prestadora;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Banda Larga Fixa;Atendimento;Longo tempo de espera para falar com o atendente no call center;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Celular Pós-Pago;Cobrança;Cobrança de internet (dados) não contratada ou utilizada;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Celular Pós-Pago;Cobrança;Cobrança de serviços adicionais não contratados;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Celular Pré-Pago;Mensagens Publicitárias;Recebimento de mensagens publicitárias não autorizadas;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Celular Pré-Pago;Qualidade, Funcionamento e Reparo;Linha muda ou sem sinal;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Telefone Fixo;Atendimento;Consumidor não consegue falar com atendente;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;SKY;Reclamação;TV por Assinatura;Bloqueio ou Suspensão e Desbloqueio;Bloqueio ou suspensão parcial indevido;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;SKY;Reclamação;TV por Assinatura;Qualidade, Funcionamento e Reparo;Sem imagem ou sem sinal;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;SKY;Reclamação;TV por Assinatura;Ressarcimento;Ressarcimento de valores não efetuado;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pós-Pago;Cancelamento;Cancelamento solicitado por meio de atendente não efetuado;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pós-Pago;Cobrança;Cobrança de valores que já foram pagos;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pós-Pago;Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano;Inclusão indevida em promoção;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pós-Pago;Qualidade, Funcionamento e Reparo;Queda de conexão de dados;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pré-Pago;Atendimento;Tratamento desrespeitoso do atendente;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pré-Pago;Crédito Pré-pago;Cobrança de serviço, produto ou plano contratado e não disponibilizado;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pré-Pago;Dados cadastrais e número da linha;Divergência nos dados cadastrais do consumidor junto à prestadora;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pré-Pago;Qualidade, Funcionamento e Reparo;Lentidão ou velocidade reduzida de conexão;ND;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pré-Pago;Qualidade, Funcionamento e Reparo;Linha muda ou sem sinal;ND;2
