DataExtracao;Ano;Mes;CanalEntrada;Condicao;GrupoEconNorm;Tipo;Servico;Modalidade;Motivo;UF;QtdeSolic
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pós-Pago;Cobrança;Consumidor não obtém resposta da contestação;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pós-Pago;Instalação ou Ativação ou Habilitação;Instalação ou habilitação indevida ou não solicitada;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pós-Pago;Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano;Recebimento de mensagens publicitárias não autorizadas no seu telefone fixo ou móvel;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;TV por Assinatura;Bloqueio ou Suspensão e Desbloqueio;Serviço não foi desbloqueado após pagamento;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;TV por Assinatura;Qualidade, Funcionamento e Reparo;Não cumprimento de agendamento de reparo;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;NET;Reclamação;Banda Larga Fixa;Cobrança;Cobrança de serviços adicionais não contratados;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;NET;Reclamação;Banda Larga Fixa;Qualidade e Funcionamento do Serviço ou Equipamento;Lentidão ou velocidade reduzida de conexão;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;NET;Reclamação;Banda Larga Fixa;Qualidade, Funcionamento e Reparo;Não cumprimento de agendamento de reparo;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;NET;Reclamação;Banda Larga Fixa;Qualidade, Funcionamento e Reparo;Reparo recusado pela prestadora;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;NET;Reclamação;Telefone Fixo;Oferta;Oferta com informações divergentes, incompletas ou omissas;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;NET;Reclamação;TV por Assinatura;Atendimento;Fornecimento de informações divergentes, incompletas ou omissas;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Banda Larga Fixa;Atendimento;Consumidor não consegue registrar reclamação na prestadora;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Banda Larga Fixa;Cancelamento;Não consegue registrar o pedido de cancelamento de serviço adicional;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Banda Larga Fixa;Cobrança;Cobrança em desacordo com o contratado;SE;2
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Banda Larga Fixa;Instalação ou Ativação ou Habilitação;Instalação ou habilitação não realizada;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Banda Larga Fixa;Qualidade, Funcionamento e Reparo;Persistência do problema após reparo;SE;2
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Celular Pós-Pago;Cancelamento;Cancelamento indevido ou não solicitado;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Celular Pós-Pago;Cobrança;Cobrança durante o período de interrupção do serviço;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Celular Pré-Pago;Crédito Pré-pago;Cobrança de serviços adicionais não contratados;SE;2
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Celular Pré-Pago;Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano;Não disponibilização de bônus promocionais;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Telefone Fixo;Bloqueio ou Suspensão e Desbloqueio;Bloqueio ou suspensão parcial indevido;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Telefone Fixo;Cancelamento;Não consegue registrar pedido de cancelamento por meio do atendente;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;OI;Reclamação;Telefone Fixo;Instalação ou Ativação ou Habilitação;Instalação ou habilitação recusada por questões técnicas;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;Outros;Pedido de Informação;Serviços da Anatel;Atendimento;Outros;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;Outros;Reclamação;Telefone Fixo;Cobrança;Cobrança em desacordo com o contratado;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;SKY;Reclamação;TV por Assinatura;Atendimento;Consumidor não recebe protocolo no contato com atendimento;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;SKY;Reclamação;TV por Assinatura;Instalação ou Ativação ou Habilitação;Instalação ou habilitação não realizada;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;SKY;Reclamação;TV por Assinatura;Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano;Produto ou serviço indisponível no endereço do consumidor;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;SKY;Reclamação;TV por Assinatura;Qualidade, Funcionamento e Reparo;Troca de equipamento não efetuada;SE;2
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pós-Pago;Cobrança;Cobrança em desacordo com o contratado;SE;2
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pós-Pago;Instalação ou Ativação ou Habilitação;Instalação ou habilitação não realizada;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pós-Pago;Qualidade e Funcionamento do Serviço ou Equipamento;Queda de conexão;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pré-Pago;Crédito Pré-pago;Cobrança de serviço, produto ou plano não contratado;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pré-Pago;Crédito Pré-pago;Cobrança de serviços adicionais não contratados;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pré-Pago;Crédito Pré-pago;Crédito que foi pago, mas não inserido;SE;2
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pré-Pago;Instalação ou Ativação ou Habilitação;Instalação ou habilitação não realizada;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;TIM;Reclamação;Celular Pré-Pago;Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano;Não consegue aderir à promoção;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pós-Pago;Cobrança;Cobrança após cancelamento;SE;4
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pós-Pago;Cobrança;Cobrança em desacordo com o contratado;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pré-Pago;Bloqueio ou Suspensão e Desbloqueio;Bloqueio ou suspensão parcial indevido;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pré-Pago;Crédito Pré-pago;Cobrança de serviço, produto ou plano não contratado;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pré-Pago;Crédito Pré-pago;Crédito pré-pago cobrado de maneira indevida;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pré-Pago;Portabilidade;Portabilidade indevida ou não solicitada;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;Celular Pré-Pago;Qualidade, Funcionamento e Reparo;Linha muda ou sem sinal;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;CLARO;Reclamação;TV por Assinatura;Cancelamento;Não consegue registrar pedido de cancelamento por meio do atendente;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;NET;Reclamação;Banda Larga Fixa;Atendimento;Fornecimento de informações divergentes, incompletas ou omissas;SE;1
2017-01-08;2016;1;Aplicativo Móvel    ;Nova;NET;Reclamação;Banda Larga Fixa;Cobrança;Cobrança em desacordo com o contratado;SE;2
